filenumber,title,authors,keyword1,keyword2,keyword3,keyword4,keyword5,X,Y,cluster,cluster top keyword 1,cluster top keyword 2,cluster top keyword 3,cluster top keyword 4,cluster top keyword 5
29,Interactive Visual Analysis of Image-Centric Cohort Study Data,"Klemm, P.;Oeltze-Jafra, S.;Lawonn, K.;Hegenscheid, K.;Volzke, H.;Preim, B.",5,1,3,10,6,-27.655275,43.474016,5,interact,user,explor,method,view
30,Visual Abstraction and Exploration of Multi-class Scatterplots,Haidong Chen;Wei Chen;Honghui Mei;Zhiqi Liu;Kun Zhou;Weifeng Chen;Wentao Gu;Kwan-Liu Ma,5,6,10,7,8,-34.106276,38.446084,5,interact,user,explor,method,view
31,Cupid: Cluster-Based Exploration of Geometry Generators with Parallel Coordinates and Radial Trees,"Beham, M.;Herzner, W.;Groller, E.;Kehrer, J.",5,7,4,6,1,-45.112664,35.543059,5,interact,user,explor,method,view
32,Visual Methods for Analyzing Probabilistic Classification Data,"Alsallakh, B.;Hanbury, A.;Hauser, H.;Miksch, S.;Rauber, A.",5,6,7,8,1,-36.793246,35.681109,5,interact,user,explor,method,view
33,A Five-Level Design Framework for Bicluster Visualizations,"Maoyuan Sun;North, C.;Ramakrishnan, N.",2,6,5,9,1,12.363026,17.23237,2,design,tool,analyt,user,inform
34,VarifocalReader -- In-Depth Visual Analysis of Large Text Documents,"Koch, S.;John, M.;Worner, M.;Muller, A.;Ertl, T.",5,6,2,4,10,-17.513179,36.346619,5,interact,user,explor,method,view
35,LoyalTracker: Visualizing Loyalty Dynamics in Search Engines,Conglei Shi;Yingcai Wu;Shixia Liu;Hong Zhou;Huamin Qu,10,5,8,6,1,8.667621,62.135764,10,system,interact,user,inform,explor
36,VAET: A Visual Analytics Approach for E-Transactions Time-Series,"Cong Xie;Wei Chen;Xinxin Huang;Yueqi Hu;Barlowe, S.;Jing Yang",5,6,10,2,1,-37.219744,49.882333,5,interact,user,explor,method,view
37,EvoRiver: Visual Analysis of Topic Coopetition on Social Media,"Guodao Sun;Yingcai Wu;Shixia Liu;Tai-Quan Peng;Zhu, J.J.H.;Ronghua Liang",10,9,5,1,2,7.19345,46.548882,10,system,interact,user,inform,explor
38,OpinionFlow: Visual Analysis of Opinion Diffusion on Social Media,Yingcai Wu;Shixia Liu;Kai Yan;Mengchen Liu;Fangzhao Wu,9,10,2,4,8,22.9749,2.089418,9,model,simul,interact,base,view
39,#FluxFlow: Visual Analysis of Anomalous Information Spreading on Social Media,"Jian Zhao;Nan Cao;Zhen Wen;Yale Song;Yu-Ru Lin;Collins, C.",9,10,2,3,6,21.63196,-1.807438,9,model,simul,interact,base,view
40,DecisionFlow: Visual Analytics for High-Dimensional Temporal Event Sequence Data,"Gotz, D.;Stavropoulos, H.",5,2,6,1,3,-22.093817,34.72755,5,interact,user,explor,method,view
41,Footprints: A Visual Search Tool that Supports Discovery and Coverage Tracking,"Isaacs, E.;Damico, K.;Ahern, S.;Bart, E.;Singhal, M.",2,5,10,1,3,6.068775,28.102696,2,design,tool,analyt,user,inform
42,Visual Analytics for Complex Engineering Systems: Hybrid Visual Steering of Simulation Ensembles,"Matkovic, K.;Gracanin, D.;Splechtna, R.;Jelovic, M.;Stehno, B.;Hauser, H.;Purgathofer, W.",10,9,1,2,3,29.402695,36.712704,10,system,interact,user,inform,explor
43,Visual Exploration of Sparse Traffic Trajectory Data,"Zuchao Wang;Tangzhi Ye;Min Lu;Xiaoru Yuan;Huamin Qu;Yuan, J.;Qianliang Wu",10,6,8,4,5,14.052047,50.474075,10,system,interact,user,inform,explor
44,DIA2: Web-based Cyberinfrastructure for Visual Analysis of Funding Portfolios,"Madhavan, K.;Elmqvist, N.;Vorvoreanu, M.;Xin Chen;Yuetling Wong;Hanjun Xian;Zhihua Dong;Johri, A.",2,10,9,1,3,3.418388,24.379423,2,design,tool,analyt,user,inform
45,Visualizing Mobility of Public Transportation System,"Wei Zeng;Chi-Wing Fu;Arisona, S.M.;Erath, A.;Huamin Qu",5,3,8,2,4,-30.232607,45.187815,5,interact,user,explor,method,view
46,Visual Analysis of Public Utility Service Problems in a Metropolis,"Jiawan Zhang;Yanli, E.;Jing Ma;Yahui Zhao;Binghan Xu;Liting Sun;Jinyan Chen;Xiaoru Yuan",5,6,2,9,1,-28.660258,40.559694,5,interact,user,explor,method,view
47,VASA: Interactive Computational Steering of Large Asynchronous Simulation Pipelines for Societal Infrastructure,"Sungahn Ko;Jieqiong Zhao;Jing Xia;Afzal, S.;Xiaoyu Wang;Abram, G.;Elmqvist, N.;Kne, L.;Van Riper, D.;Gaither, K.;Kennedy, S.;Tolone, W.;Ribarsky, W.;Ebert, D.S.",9,10,1,2,3,29.331247,12.624026,9,model,simul,interact,base,view
48,Proactive Spatiotemporal Resource Allocation and Predictive Visual Analytics for Community Policing and Law Enforcement,"Malik, A.;Maciejewski, R.;Towers, S.;McCullough, S.;Ebert, D.S.",6,2,5,9,8,-16.867846,8.536028,6,set,techniqu,larg,present,task
49,Run Watchers: Automatic Simulation-Based Decision Support in Flood Management,"Konev, A.;Waser, J.;Sadransky, B.;Cornel, D.;Perdigao, R.A.P.;Horvath, Z.;Groller, E.",9,10,6,2,1,27.56239,10.861168,9,model,simul,interact,base,view
50,ConTour: Data-Driven Exploration of Multi-Relational Datasets for Drug Discovery,"Partl, C.;Lex, A.;Streit, M.;Strobelt, H.;Wassermann, A.M.;Pfister, H.;Schmalstieg, D.",5,6,1,2,3,-35.448421,50.229847,5,interact,user,explor,method,view
51,Visual Analytics for Comparison of Ocean Model Output with Reference Data: Detecting and Analyzing Geophysical Processes Using Clustering Ensembles,"Kothur, P.;Sips, M.;Dobslaw, H.;Dransch, D.",9,6,3,1,2,37.146031,1.381595,9,model,simul,interact,base,view
52,Genotet: An Interactive Web-based Visual Exploration Framework to Support Validation of Gene Regulatory Networks,"Bowen Yu;Doraiswamy, H.;Xi Chen;Miraldi, E.;Arrieta-Ortiz, M.L.;Hafemeister, C.;Madar, A.;Bonneau, R.;Silva, C.T.",9,4,5,10,2,36.477944,9.409278,9,model,simul,interact,base,view
53,The Spinel Explorer - Interactive Visual Analysis of Spinel Group Minerals,"Lujan Ganuza, M.;Ferracutti, G.;Gargiulo, M.F.;Castro, S.M.;Bjerg, E.;Groller, E.;Matkovic, K.",5,10,1,2,3,-30.586801,50.814163,5,interact,user,explor,method,view
54,Visual Reconciliation of Alternative Similarity Spaces in Climate Modeling,"Poco, J.;Dasgupta, A.;Yaxing Wei;Hargrove, W.;Schwalm, C.R.;Huntzinger, D.N.;Cook, R.;Bertini, E.;Silva, C.T.",9,6,5,4,1,37.767805,1.060742,9,model,simul,interact,base,view
55,Learning Perceptual Kernels for Visualization Design,"Demiralp, C.;Bernstein, M.S.;Heer, J.",2,9,3,7,6,7.314031,10.052208,2,design,tool,analyt,user,inform
56,Ranking Visualizations of Correlation Using Weber's Law,"Harrison, L.;Fumeng Yang;Franconeri, S.;Chang, R.",9,2,3,6,1,33.91947,2.594876,9,model,simul,interact,base,view
57,"The relation between visualization size, grouping, and user performance","Gramazio, C.C.;Schloss, K.B.;Laidlaw, D.H.",3,2,4,5,1,-8.159802,-8.278489,3,inform,displai,map,space,color
58,A Principled Way of Assessing Visualization Literacy,"Boy, J.;Rensink, R.A.;Bertini, E.;Fekete, J.",2,4,8,7,5,0.134367,8.592219,2,design,tool,analyt,user,inform
59,Reinforcing Visual Grouping Cues to Communicate Complex Informational Structure,"Bae, J.;Watson, B.",4,2,3,8,6,-46.284613,14.844174,4,graph,network,node,layout,edg
60,UpSet: Visualization of Intersecting Sets,"Lex, A.;Gehlenborg, N.;Strobelt, H.;Vuillemot, R.;Pfister, H.",6,1,2,3,4,-38.540124,-8.06492,6,set,techniqu,larg,present,task
61,OnSet: A Visualization Technique for Large-scale Binary Set Data,"Sadana, R.;Major, T.;Dove, A.;Stasko, J.",6,1,2,3,4,-37.746079,-9.107727,6,set,techniqu,larg,present,task
62,DimpVis: Exploring Time-varying Information Visualizations by Direct Manipulation,"Kondo, B.;Collins, C.",5,6,3,2,1,-32.325555,44.866711,5,interact,user,explor,method,view
63,Axis Calibration for Improving Data Attribute Estimation in Star Coordinates Plots,"Rubio-Sanchez, M.;Sanchez, A.",8,6,5,7,3,68.684108,-2.060324,8,field,flow,vector,method,tensor
64,"Domino: Extracting, Comparing, and Manipulating Subsets Across Multiple Tabular Datasets","Gratzl, S.;Gehlenborg, N.;Lex, A.;Pfister, H.;Streit, M.",6,5,8,1,2,-24.474523,9.012603,6,set,techniqu,larg,present,task
65,Attribute Signatures: Dynamic Visual Summaries for Analyzing Multivariate Geographical Data,"Turkay, C.;Slingsby, A.;Hauser, H.;Wood, J.;Dykes, J.",5,6,1,2,3,-35.422172,47.068494,5,interact,user,explor,method,view
66,Origin-Destination Flow Data Smoothing and Mapping,Diansheng Guo;Xi Zhu,8,3,1,2,4,71.923987,15.933369,8,field,flow,vector,method,tensor
67,Stenomaps: Shorthand for shapes,"van Goethem, A.;Reimer, A.;Speckmann, B.;Wood, J.",7,6,2,9,8,21.118533,-39.602126,7,surfac,method,mesh,algorithm,model
68,Nmap: A Novel Neighborhood Preservation Space-filling Algorithm,"Duarte, F.S.L.G.;Sikansi, F.;Fatore, F.M.;Fadel, S.G.;Paulovich, F.V.",6,5,3,7,1,-18.677103,1.969841,6,set,techniqu,larg,present,task
69,Tree Colors: Color Schemes for Tree-Structured Data,"Tennekes, M.;de Jonge, E.",4,3,5,9,8,-53.657503,4.728405,4,graph,network,node,layout,edg
70,Revisiting Bertin Matrices: New Interactions for Crafting Tabular Visualizations,"Perin, C.;Dragicevic, P.;Fekete, J.",5,10,7,8,1,-31.631209,28.166438,5,interact,user,explor,method,view
71,iVisDesigner: Expressive Interactive Design of Information Visualizations,"Donghao Ren;Hollerer, T.;Xiaoru Yuan",10,2,1,3,4,2.648891,54.546988,10,system,interact,user,inform,explor
72,Constructing Visual Representations: Investigating the Use of Tangible Tokens,"Huron, S.;Jansen, Y.;Carpendale, S.",2,3,6,4,7,4.177601,18.614427,2,design,tool,analyt,user,inform
73,PanoramicData: Data Analysis through Pen & Touch,"Zgraggen, E.;Zeleznik, R.;Drucker, S.",10,5,6,2,1,-2.391438,52.318988,10,system,interact,user,inform,explor
74,The Effects of Interactive Latency on Exploratory Visual Analysis,"Zhicheng Liu;Heer, J.",10,5,2,6,1,-2.826228,52.935475,10,system,interact,user,inform,explor
75,Visualizing Statistical Mix Effects and Simpson's Paradox,"Armstrong, Z.;Wattenberg, M.",6,5,3,2,4,-23.329178,2.242479,6,set,techniqu,larg,present,task
76,Error Bars Considered Harmful: Exploring Alternate Encodings for Mean and Error,"Correll, M.;Gleicher, M.",2,6,3,7,9,4.936719,8.121489,2,design,tool,analyt,user,inform
77,Four Experiments on the Perception of Bar Charts,"Talbot, J.;Setlur, V.;Anand, A.",6,2,3,5,1,-7.713696,-2.243206,6,set,techniqu,larg,present,task
78,Visual Parameter Space Analysis: A Conceptual Framework,"Sedlmair, M.;Heinzl, C.;Bruckner, S.;Piringer, H.;Moller, T.",2,9,5,8,1,4.370143,10.834352,2,design,tool,analyt,user,inform
79,Moving beyond sequential design: Reflections on a rich multi-channel approach to data visualization,"Wood, J.;Beecham, R.;Dykes, J.",2,9,6,10,1,12.243636,17.90166,2,design,tool,analyt,user,inform
80,An Algebraic Process for Visualization Design,"Kindlmann, G.;Scheidegger, C.E.",9,2,7,1,3,38.485688,-1.207824,9,model,simul,interact,base,view
81,Design Activity Framework for Visualization Design,"McKenna, S.;Mazur, D.;Agutter, J.;Meyer, M.",2,9,1,3,4,15.299679,17.050933,2,design,tool,analyt,user,inform
82,Activity Sculptures: Exploring the Impact of Physical Visualizations on Running Activity,"Stusak, S.;Tabard, A.;Sauka, F.;Khot, R.A.;Butz, A.",2,8,9,4,1,2.337439,13.55922,2,design,tool,analyt,user,inform
83,The Persuasive Power of Data Visualization,"Pandey, A.V.;Manivannan, A.;Nov, O.;Satterthwaite, M.;Bertini, E.",5,2,3,10,1,-17.904887,44.21589,5,interact,user,explor,method,view
84,Comparative Eye Tracking Study on Node-Link Visualizations of Trajectories,"Netzel, R.;Burch, M.;Weiskopf, D.",4,3,6,5,2,-65.838318,2.342314,4,graph,network,node,layout,edg
85,"Node, Node-Link, and Node-Link-Group Diagrams: An Evaluation","Saket, B.;Simonetto, P.;Kobourov, S.;Borner, K.",4,6,3,2,1,-65.834688,0.697055,4,graph,network,node,layout,edg
86,The Not-so-Staggering Effect of Staggered Animated Transitions on Visual Tracking,"Chevalier, F.;Dragicevic, P.;Franconeri, S.",3,6,10,4,1,-0.191672,-1.65377,3,inform,displai,map,space,color
87,The Influence of Contour on Similarity Perception of Star Glyphs,"Fuchs, J.;Isenberg, P.;Bezerianos, A.;Fischer, F.;Bertini, E.",6,8,3,2,7,-32.770451,-12.151419,6,set,techniqu,larg,present,task
88,Order of Magnitude Markers: An Empirical Study on Large Magnitude Number Detection,"Borgo, R.;Dearden, J.;Jones, M.W.",6,3,5,4,8,-26.829557,0.84919,6,set,techniqu,larg,present,task
89,"Overview: The Design, Adoption, and Analysis of a Visual Document Mining Tool for Investigative Journalists","Brehmer, M.;Ingram, S.;Stray, J.;Munzner, T.",2,6,10,5,1,6.085401,19.421184,2,design,tool,analyt,user,inform
90,How Hierarchical Topics Evolve in Large Text Corpora,Weiwei Cui;Shixia Liu;Zhuofeng Wu;Hao Wei,5,4,2,1,3,-15.657974,36.021362,5,interact,user,explor,method,view
91,Exploring the Placement and Design of Word-Scale Visualizations,"Goffin, P.;Willett, W.;Fekete, J.;Isenberg, P.",2,3,5,1,4,8.424897,11.715025,2,design,tool,analyt,user,inform
92,Effects of Presentation Mode and Pace Control on Performance in Image Classification,"van der Corput, P.;van Wijk, J.J.",6,5,3,1,2,-28.183788,-17.522545,6,set,techniqu,larg,present,task
93,Multivariate Network Exploration and Presentation: From Detail to Overview via Selections and Aggregations,"van den Elzen, S.;van Wijk, J.J.",4,5,1,2,3,-65.644162,12.64205,4,graph,network,node,layout,edg
94,GLO-STIX: Graph-Level Operations for Specifying Techniques and Interactive eXploration,"Stolper, C.D.;Kahng, M.;Zhiyuan Lin;Foerster, F.;Goel, A.;Stasko, J.;Duen Horng Chau",4,6,9,10,8,-62.198261,-8.167296,4,graph,network,node,layout,edg
95,LiveGantt: Interactively Visualizing a Large Manufacturing Schedule,Jaemin Jo;Jaeseok Huh;Jonghun Park;Bohyoung Kim;Jinwook Seo,5,10,2,1,3,-29.436857,50.058441,5,interact,user,explor,method,view
96,TenniVis: Visualization for Tennis Match Analysis,"Polk, T.;Jing Yang;Yueqi Hu;Ye Zhao",10,3,9,2,4,14.070977,48.003128,10,system,interact,user,inform,explor
97,Combing the Communication Hairball: Visualizing Parallel Execution Traces using Logical Time,"Isaacs, K.E.;Bremer, P.-T.;Jusufi, I.;Gamblin, T.;Bhatele, A.;Schulz, M.;Hamann, B.",3,6,10,5,9,-4.125231,-7.261476,3,inform,displai,map,space,color
98,MovExp: A Versatile Visualization Tool for Human-Computer Interaction Studies with 3D Performance and Biomechanical Data,"Palmas, G.;Bachynskyi, M.;Oulasvirta, A.;Seidel, H.-P.;Weinkauf, T.",2,10,5,9,6,12.828012,24.894687,2,design,tool,analyt,user,inform
99,NeuroLines: A Subway Map Metaphor for Visualizing Nanoscale Neuronal Connectivity,"Al-Awami, A.;Beyer, J.;Strobelt, H.;Kasthuri, N.;Lichtman, J.;Pfister, H.;Hadwiger, M.",2,6,5,1,4,5.303709,12.512046,2,design,tool,analyt,user,inform
100,Predicate-Based Focus-and-Context Visualization for 3D Ultrasound,"Schulte zu Berge, C.;Baust, M.;Kapoor, A.;Navab, N.",1,3,5,2,8,-29.8758,-68.812091,1,volum,render,imag,base,techniqu
101,ViSlang: A System for Interpreted Domain-Specific Languages for Scientific Visualization,"Rautek, P.;Bruckner, S.;Groller, E.;Hadwiger, M.",10,2,1,3,4,20.683313,67.685117,10,system,interact,user,inform,explor
102,Interactive Progressive Visualization with Space-Time Error Control,"Frey, S.;Sadlo, F.;Kwan-Liu Ma;Ertl, T.",1,6,5,10,7,-28.276231,-43.111549,1,volum,render,imag,base,techniqu
103,Vivaldi: A Domain-Specific Language for Volume Processing and Visualization on Distributed Heterogeneous Systems,"Hyungsuk Choi;Woohyuk Choi;Tran Minh Quan;Hildebrand, D.G.C.;Pfister, H.;Won-Ki Jeong",1,10,2,3,4,-26.600807,-52.411571,1,volum,render,imag,base,techniqu
104,Sparse PDF Volumes for Consistent Multi-Resolution Volume Rendering,"Sicat, R.;Kruger, J.;Moller, T.;Hadwiger, M.",1,2,3,4,5,-34.053224,-63.288104,1,volum,render,imag,base,techniqu
105,Multiscale Symmetry Detection in Scalar Fields by Clustering Contours,"Thomas, D.M.;Natarajan, V.",8,5,2,7,1,72.940973,-10.476214,8,field,flow,vector,method,tensor
106,Low-Pass Filtered Volumetric Shadows,"Ament, M.;Sadlo, F.;Dachsbacher, C.;Weiskopf, D.",1,6,10,8,7,-42.641063,-49.875632,1,volum,render,imag,base,techniqu
107,Boundary Aware Reconstruction of Scalar Fields,"Lindholm, S.;Jonsson, D.;Hansen, C.;Ynnerman, A.",5,8,2,1,7,-36.31056,36.274256,5,interact,user,explor,method,view
108,Attractive Flicker: Guiding Attention in Dynamic Narrative Visualizations,"Waldner, M.;Le Muzic, M.;Bernhard, M.;Purgathofer, W.;Viola, I.",6,5,3,8,1,-24.748495,7.544103,6,set,techniqu,larg,present,task
109,Design and Evaluation of Interactive Proofreading Tools for Connectomics,"Haehn, D.;Knowles-Barley, S.;Roberts, M.;Beyer, J.;Kasthuri, N.;Lichtman, J.;Pfister, H.",2,1,10,5,7,11.832716,23.926224,2,design,tool,analyt,user,inform
110,Characterizing Molecular Interactions in Chemical Systems,"Gunther, D.;Boto, R.A.;Contreras-Garcia, J.;Piquemal, J.-P.;Tierny, J.",10,8,1,2,3,-0.707196,56.519042,10,system,interact,user,inform,explor
111,Ligand Excluded Surface: A New Type of Molecular Surface,"Lindow, N.;Baum, D.;Hege, H.-C.",7,10,1,2,3,27.518115,-51.388954,7,surfac,method,mesh,algorithm,model
112,ADR - Anatomy-Driven Reformation,"Kretschmer, J.;Soza, G.;Tietjen, C.;Suehling, M.;Preim, B.;Stamminger, M.",7,1,8,2,5,27.117021,-35.758622,7,surfac,method,mesh,algorithm,model
113,Combined Visualization of Wall Thickness and Wall Shear Stress for the Evaluation of Aneurysms,"Glaber, S.;Lawonn, K.;Hoffmann, T.;Skalej, M.;Preim, B.",3,7,9,1,2,11.936443,-7.600619,3,inform,displai,map,space,color
114,Visualization of Brain Microstructure Through Spherical Harmonics Illumination of High Fidelity Spatio-Angular Fields,"Bista, S.;Jiachen Zhuo;Gullapalli, R.P.;Varshney, A.",8,5,1,2,6,68.655605,-14.949476,8,field,flow,vector,method,tensor
115,A Robust Parity Test for Extracting Parallel Vectors in 3D,Tao Ju;Minxin Cheng;Xu Wang;Ye Duan,8,7,1,2,3,76.917598,-7.796809,8,field,flow,vector,method,tensor
116,Vortex Cores of Inertial Particles,"Gunther, T.;Theisel, H.",8,6,1,2,3,75.417035,-3.731676,8,field,flow,vector,method,tensor
117,FLDA: Latent Dirichlet Allocation Based Unsteady Flow Analysis,Fan Hong;Chufan Lai;Hanqi Guo;Enya Shen;Xiaoru Yuan;Sikun Li,8,9,5,1,2,70.828917,8.776238,8,field,flow,vector,method,tensor
118,Advection-Based Sparse Data Management for Visualizing Unsteady Flow,Hanqi Guo;Jiang Zhang;Richen Liu;Lu Liu;Xiaoru Yuan;Jian Huang;Xiangfei Meng;Jingshan Pan,8,7,10,1,2,72.743972,9.658001,8,field,flow,vector,method,tensor
119,Trajectory-Based Flow Feature Tracking in Joint Particle/Volume Datasets,"Sauer, F.;Hongfeng Yu;Kwan-Liu Ma",1,5,8,6,7,-35.464632,-48.63965,1,volum,render,imag,base,techniqu
120,Visualizing 2-dimensional Manifolds with Curve Handles in 4D,Hui Zhang;Jianguang Weng;Guangchen Ruan,10,7,2,1,3,17.383464,49.586626,10,system,interact,user,inform,explor
121,Fast and Memory-Efficienty Topological Denoising of 2D and 3D Scalar Fields,"Gunther, D.;Jacobson, A.;Reininghaus, J.;Seidel, H.-P.;Sorkine-Hornung, O.;Weinkauf, T.",8,6,7,9,1,70.331661,-7.589196,8,field,flow,vector,method,tensor
122,Conforming Morse-Smale Complexes,"Gyulassy, A.;Gunther, D.;Levine, J.A.;Tierny, J.;Pascucci, V.",8,7,10,5,6,61.020499,0.130114,8,field,flow,vector,method,tensor
123,Escape Maps,"Machado, G.;Sadlo, F.;Muller, T.;Ertl, T.",8,7,3,6,1,73.146178,-5.235363,8,field,flow,vector,method,tensor
124,Visualization of Regular Maps: The Chase Continues,"van Wijk, J.J.",7,3,1,2,4,34.287076,-36.381311,7,surfac,method,mesh,algorithm,model
125,City Forensics: Using Visual Elements to Predict Non-Visual City Attributes,"Arietta, S.M.;Efros, A.A.;Ramamoorthi, R.;Agrawala, M.",6,10,1,8,5,-29.00546,-16.057266,6,set,techniqu,larg,present,task
126,Using Topological Analysis to Support Event-Guided Exploration in Urban Data,"Doraiswamy, H.;Ferreira, N.;Damoulas, T.;Freire, J.;Silva, C.T.",5,6,10,9,1,-27.318064,49.949812,5,interact,user,explor,method,view
